time_s,x_m,y_m,z_m,theta_x_deg,theta_y_deg,theta_z_deg
6.164372,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
6.214076,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
6.268028,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
6.313995,0.677218,0.171329,0.069363,170.640854,73.990334,165.970886
6.364093,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
6.418181,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
6.463955,0.677218,0.171329,0.069363,170.640854,73.990334,165.970886
6.514377,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
6.569062,0.677218,0.171329,0.069363,170.640854,73.990334,165.970886
6.638873,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
6.689519,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
6.718151,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
6.789045,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
6.838974,0.677218,0.171329,0.069363,170.640854,73.990334,165.970886
6.889471,0.677218,0.171328,0.069363,170.640854,73.990334,165.970825
6.939195,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
6.993711,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
7.039005,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
7.089990,0.677218,0.171329,0.069363,170.640854,73.990334,165.970886
7.143596,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
7.191587,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
7.239412,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
7.294610,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
7.340298,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
7.389112,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
7.443982,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
7.489606,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
7.539036,0.677218,0.171329,0.069363,170.640854,73.990334,165.970886
7.593111,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
7.639271,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
7.689398,0.677218,0.171329,0.069363,170.640854,73.990334,165.970886
7.739107,0.677218,0.171329,0.069363,170.640854,73.990334,165.970886
7.789179,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
7.839908,0.677218,0.171329,0.069363,170.640854,73.990334,165.970886
7.889631,0.677218,0.171329,0.069363,170.640854,73.990334,165.970886
7.940120,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
7.989381,0.677218,0.171329,0.069363,170.640854,73.990334,165.970886
8.038802,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
8.090556,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
8.139042,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
8.188864,0.677218,0.171328,0.069363,170.640915,73.990318,165.970901
8.239145,0.677219,0.171328,0.069365,170.640579,73.990356,165.970581
8.289083,0.677224,0.171332,0.069384,170.635773,73.991425,165.965927
8.339272,0.677214,0.171428,0.069282,170.708939,73.965019,166.058380
8.389141,0.677868,0.172272,0.069850,170.914368,73.917343,166.395493
8.438907,0.679346,0.173823,0.072360,170.652954,73.994370,166.319504
8.493656,0.681202,0.175636,0.076315,170.042297,74.156944,165.909485
8.539869,0.683354,0.177678,0.081762,168.993240,74.397049,165.063171
8.589607,0.685848,0.180056,0.088826,167.534348,74.717918,163.836365
8.639916,0.688554,0.182473,0.097080,165.697861,75.087624,162.226730
8.690742,0.691289,0.184838,0.105944,163.639923,75.478867,160.393555
8.744112,0.694039,0.187409,0.115267,161.397614,75.861732,158.405685
8.789161,0.696283,0.189472,0.123199,159.391800,76.169106,156.606262
8.839320,0.698637,0.191651,0.131877,157.185043,76.492744,154.628174
8.894566,0.701146,0.193924,0.141575,154.574966,76.832970,152.259491
8.939159,0.703059,0.195767,0.149427,152.411255,77.085587,150.299637
8.989374,0.705146,0.197765,0.158344,149.877106,77.357689,147.992935
9.043202,0.707238,0.199801,0.167830,147.086151,77.619553,145.442078
9.090672,0.708956,0.201477,0.176076,144.621674,77.832619,143.183167
9.139406,0.710759,0.203175,0.185072,141.799454,78.034248,140.576721
9.193762,0.712520,0.204916,0.194523,138.819733,78.214584,137.824310
9.239460,0.714012,0.206467,0.203178,136.003632,78.370102,135.222443
9.289464,0.715494,0.207901,0.212210,133.031265,78.494637,132.458206
9.344055,0.716976,0.209423,0.222069,129.743103,78.602875,129.400742
9.390090,0.718154,0.210677,0.230471,126.904633,78.660194,126.756256
9.441485,0.719317,0.212007,0.239651,123.821266,78.709618,123.893425
9.489592,0.720393,0.213157,0.248102,120.991806,78.739059,121.264290
9.539500,0.721281,0.214245,0.254621,118.993912,78.755974,119.458252
9.589624,0.722065,0.215330,0.259651,117.616409,78.797028,118.264442
9.639717,0.722806,0.216354,0.263167,116.862946,78.848793,117.681854
