time_s,fx_N,fy_N,fz_N,tx_Nm,ty_Nm,tz_Nm
6.070712,4.156649,-1.892856,-1.636287,0.190213,0.012763,1.046144
6.119402,4.224332,-2.116745,-1.613460,0.210783,0.008297,1.093746
6.169177,4.239988,-2.004955,-1.603742,0.190452,0.025900,1.076816
6.219181,4.083053,-1.888926,-1.672149,0.179105,-0.033036,1.023508
6.271116,4.217291,-1.981140,-1.575591,0.158901,0.008828,1.029598
6.319373,4.077537,-1.928344,-1.709830,0.199244,-0.033579,1.059460
6.369616,4.155123,-2.016494,-1.664694,0.204767,-0.023996,1.080897
6.422132,4.187524,-2.035308,-1.541160,0.185971,0.037426,1.060704
6.469108,3.984158,-1.923156,-1.644170,0.183657,-0.028823,1.036906
6.519086,4.140563,-2.054732,-1.666992,0.216617,-0.013202,1.083994
6.569106,4.160459,-2.033491,-1.658233,0.199578,-0.000549,1.080548
6.626142,3.975504,-2.012397,-1.602411,0.196544,-0.026974,1.070570
6.669583,4.101685,-2.084948,-1.692246,0.200219,-0.031332,1.077737
6.721185,4.099588,-1.985113,-1.643650,0.199737,-0.011791,1.065760
6.773824,4.203490,-2.026812,-1.616706,0.198149,0.016469,1.059423
6.819330,4.135115,-2.021382,-1.605379,0.196859,0.013635,1.052528
6.869023,4.052552,-2.003498,-1.680608,0.184804,-0.031594,1.069120
6.924080,4.085852,-2.080726,-1.675670,0.209925,-0.043174,1.091385
6.968773,4.146298,-1.942852,-1.685192,0.200953,-0.023806,1.043884
7.019623,4.037814,-1.967705,-1.662348,0.178148,-0.034844,1.058007
7.073417,4.109922,-2.042721,-1.602590,0.207632,0.005396,1.089497
7.119975,4.147690,-1.944319,-1.669650,0.174840,-0.024615,1.037948
7.194614,4.091066,-2.020142,-1.559688,0.207322,0.009086,1.084620
7.222933,4.221341,-1.964877,-1.681826,0.150420,-0.017953,1.024910
7.294205,4.173227,-2.058255,-1.701091,0.206696,-0.026243,1.101317
7.345236,4.083300,-2.016268,-1.681662,0.180592,-0.032456,1.053704
7.394414,4.092537,-1.947483,-1.627393,0.188530,-0.010473,1.040082
7.447235,4.041226,-2.079571,-1.676315,0.212177,-0.032520,1.101126
7.499034,4.154431,-1.973833,-1.645651,0.200390,-0.005884,1.045189
7.544340,4.188038,-1.968208,-1.667539,0.191311,0.004781,1.048060
7.594382,4.202563,-1.992438,-1.614351,0.195000,0.027675,1.071455
7.648486,4.133491,-2.002708,-1.712672,0.190019,-0.022733,1.082164
7.694802,4.115912,-2.085011,-1.637204,0.228288,-0.013915,1.113291
7.747270,4.146233,-1.988052,-1.567664,0.189476,0.020269,1.061036
7.798057,4.154930,-1.931297,-1.652389,0.188150,-0.016736,1.023210
7.846470,4.062451,-2.065205,-1.592410,0.224023,-0.010888,1.082994
7.895703,4.083026,-1.995287,-1.639875,0.182887,-0.015000,1.067103
7.947850,4.171271,-2.008291,-1.623209,0.188094,0.001802,1.071217
7.996558,4.106023,-2.083830,-1.649833,0.205331,-0.015929,1.094833
8.044981,4.068688,-2.011069,-1.640390,0.196453,-0.017515,1.065648
8.100963,4.162296,-2.025169,-1.670183,0.218886,0.005979,1.066470
8.144112,4.096731,-1.996011,-1.675173,0.194900,-0.018815,1.057561
8.194249,4.085304,-1.970531,-1.624867,0.182564,-0.013155,1.056491
8.244453,4.086179,-2.079320,-1.650055,0.220409,-0.017150,1.085399
8.293787,4.082955,-2.129114,-1.653271,0.230378,-0.014178,1.134209
8.346249,4.117754,-1.967298,-1.611700,0.200170,0.003507,1.063158
8.394446,4.028131,-2.044101,-1.591987,0.191399,0.001769,1.065254
8.444564,4.067662,-1.947261,-1.674995,0.186702,-0.043729,1.050816
8.494836,4.070760,-2.000162,-1.608225,0.193104,-0.010279,1.061900
8.544855,4.121660,-2.014822,-1.642104,0.178559,-0.010228,1.060417
8.594488,4.146916,-2.018810,-1.630050,0.215322,0.001247,1.083598
8.646583,4.067171,-1.990340,-1.602218,0.197379,0.013346,1.054593
8.694579,4.026176,-2.031982,-1.599539,0.186157,-0.016813,1.061044
8.744177,4.142082,-1.942777,-1.692306,0.182440,-0.030646,1.063723
8.794772,4.148965,-2.026468,-1.594403,0.182971,0.007963,1.060749
8.844716,4.160956,-1.971009,-1.635382,0.184671,-0.004661,1.055040
8.894559,4.083150,-1.992869,-1.637003,0.211855,-0.017648,1.067220
8.946062,4.191971,-2.026302,-1.687048,0.188853,-0.018170,1.062838
8.995504,4.072190,-2.041741,-1.686223,0.229137,-0.024708,1.107836
9.044484,4.165480,-2.065947,-1.711326,0.232449,-0.029058,1.106787
9.097107,4.156163,-2.027766,-1.586462,0.197306,0.022436,1.077808
9.145487,4.169877,-1.944267,-1.710876,0.191997,-0.014499,1.046531
9.195177,4.112799,-2.081344,-1.641278,0.217536,-0.020818,1.110612
9.249406,4.267454,-1.933833,-1.614565,0.181316,0.020457,1.051965
9.296486,4.093109,-1.990646,-1.630758,0.201633,-0.014169,1.061949
9.344257,4.052543,-2.161833,-1.651778,0.228683,-0.020797,1.132547
9.400379,4.180406,-1.947750,-1.674590,0.188227,-0.004953,1.039312
9.469501,4.148141,-2.089514,-1.688890,0.220786,-0.018300,1.104219
9.519992,4.183321,-1.998991,-1.576102,0.203450,0.023253,1.079209
9.549284,4.119610,-1.961566,-1.593025,0.207242,0.008929,1.052989
9.619262,4.078387,-1.965573,-1.585371,0.188517,-0.001648,1.035908
9.669683,4.115774,-1.967734,-1.612886,0.196678,0.013837,1.050994
9.698258,4.211686,-1.971284,-1.744238,0.202385,-0.015539,1.060169
9.769284,4.029022,-2.076230,-1.619636,0.204697,-0.024558,1.105501
9.819185,4.103098,-1.891878,-1.683090,0.166287,-0.018030,1.029043
9.869613,4.122387,-2.084433,-1.682109,0.192638,-0.022989,1.082412
9.919530,4.073887,-2.035772,-1.686751,0.198388,-0.030660,1.081236
9.969038,4.112665,-2.054809,-1.641426,0.216873,-0.019931,1.090388
10.022660,4.106287,-2.109309,-1.682164,0.221014,-0.025938,1.105873
10.070434,4.055325,-2.028020,-1.603366,0.184035,-0.003852,1.072374
10.124416,4.203572,-1.941326,-1.694043,0.166661,-0.022970,1.034187
10.169530,4.166421,-2.050506,-1.576722,0.208762,0.016658,1.088677
10.219411,4.094235,-1.943157,-1.609645,0.197553,0.012750,1.040509
10.273480,4.139833,-1.984514,-1.608919,0.172716,0.006054,1.047183
10.319625,4.123632,-1.959229,-1.569621,0.185176,0.023016,1.054926
10.369504,4.149273,-1.919226,-1.657658,0.176860,-0.018356,1.025383
10.423314,4.177819,-2.034100,-1.692856,0.189159,-0.024466,1.072241
10.470665,3.999776,-2.021743,-1.551634,0.183742,0.011647,1.085167
10.519254,4.159094,-1.961408,-1.624732,0.183141,-0.003469,1.053936
10.573398,4.160058,-1.949090,-1.636942,0.196976,0.006926,1.031288
10.619437,4.074415,-2.000268,-1.652409,0.215151,-0.026879,1.074323
10.672163,4.146938,-1.951176,-1.615306,0.189118,0.003735,1.049296
10.724025,4.214454,-2.033709,-1.639718,0.216883,0.010736,1.079422
10.769622,4.219307,-1.957408,-1.657887,0.202707,0.003530,1.051485
10.820617,4.167268,-2.056131,-1.605007,0.212895,0.005511,1.085636
10.869385,4.244249,-1.968396,-1.567597,0.177653,0.037449,1.046039
10.919315,4.090305,-2.058954,-1.616689,0.215150,-0.005307,1.079638
10.970553,4.068599,-2.044889,-1.667458,0.216634,-0.026844,1.094540
11.019612,4.141210,-1.917349,-1.619866,0.146766,0.012769,1.008150
11.068905,4.183546,-2.033845,-1.491512,0.207523,0.047604,1.078182
11.120356,4.068603,-2.013633,-1.526261,0.247249,0.019077,1.115628
11.169736,4.111795,-2.363862,-1.706319,0.258873,-0.000217,1.174539
11.219306,3.229710,-1.924933,-1.216949,0.153836,0.044434,0.969801
11.270495,4.110829,-2.031942,-1.955950,0.144216,-0.132509,1.056704
11.319693,3.909513,-2.110430,-1.710723,0.159816,-0.083455,1.023545
11.369646,3.710835,-1.807559,-1.725472,0.149728,-0.081640,1.018349
11.421016,4.670568,-1.982184,-1.733023,0.197139,-0.021805,1.086478
11.472840,4.675436,-2.249668,-1.717538,0.251801,0.013690,1.156856
11.519484,4.377343,-1.719508,-1.621415,0.183235,0.003564,1.032656
11.571791,4.560832,-1.616666,-1.680762,0.181091,0.021520,1.002169
11.619459,4.429302,-2.361184,-1.700959,0.216590,0.015491,1.122583
11.670007,4.068701,-1.792055,-1.603154,0.127074,-0.021494,0.977661
11.719764,3.690713,-1.771917,-1.792998,0.145201,-0.087415,0.997564
11.769822,4.348611,-2.383622,-1.478352,0.243621,0.041529,1.153490
11.819476,4.138235,-2.098967,-1.812206,0.228823,-0.032953,1.115678
11.876084,3.837685,-1.856038,-1.307419,0.213811,0.066505,1.079491
11.919537,4.242775,-2.298808,-1.589515,0.262729,0.033019,1.142735
11.969926,4.199523,-2.178159,-1.671782,0.201478,-0.005709,1.089555
12.023551,3.749795,-1.758594,-1.499815,0.160535,-0.002157,1.005579
12.070613,4.041953,-2.020979,-1.732314,0.171103,-0.043938,1.053411
12.124098,4.313248,-2.149572,-1.577472,0.203618,0.021325,1.066151
12.173798,3.923948,-1.846972,-1.752710,0.176546,-0.033453,1.046116
12.219932,4.204149,-1.987599,-1.610814,0.208537,-0.010468,1.090646
12.269093,4.351345,-2.382515,-1.753916,0.262525,-0.010919,1.158755
12.324001,4.168659,-1.762645,-1.540412,0.183656,0.018365,1.027940
12.370621,4.063796,-1.917184,-1.732559,0.170474,-0.056684,1.018369
12.419491,4.261889,-2.239669,-1.714909,0.214140,-0.023500,1.116463
12.473082,4.190360,-1.796608,-1.699630,0.187005,-0.028135,1.039537
12.544497,4.247652,-2.155161,-1.495271,0.199954,0.032531,1.096658
12.594638,4.174631,-1.872985,-1.792481,0.151958,-0.031976,1.017850
12.644647,4.096349,-1.913510,-1.586368,0.183621,-0.005203,1.028323
12.695007,4.106222,-1.986136,-1.645695,0.218252,-0.013153,1.083939
12.749689,4.229873,-2.062897,-1.790089,0.207549,-0.046001,1.089915
12.794463,4.118087,-2.078319,-1.504506,0.188673,-0.010287,1.093905
12.844517,4.193567,-1.861688,-1.835950,0.191570,-0.038416,1.048900
12.899075,4.261742,-2.135128,-1.503371,0.217778,0.031763,1.094188
12.944802,4.315513,-2.165797,-1.843664,0.202171,-0.032623,1.099521
12.994695,3.969201,-1.811784,-1.488967,0.187280,0.030639,1.050528
13.048563,4.190449,-2.207342,-1.673142,0.192449,0.005139,1.092248
13.095673,3.997905,-2.181170,-1.530331,0.214786,0.000814,1.111643
13.145012,3.999310,-1.800820,-1.581063,0.162909,0.005414,1.013934
13.198776,4.278545,-2.240159,-1.610996,0.230590,0.032188,1.124849
13.244637,4.117466,-2.114587,-1.500730,0.205825,0.026291,1.106393
13.294179,4.063475,-1.948148,-1.703028,0.201722,-0.007240,1.087754
13.349396,4.229272,-2.058567,-1.497630,0.186359,0.032211,1.053817
13.394856,4.179323,-2.032246,-1.799001,0.191165,-0.031663,1.075247
13.446689,4.047851,-1.838119,-1.545488,0.180650,-0.005790,1.001722
13.494723,4.147964,-2.071862,-1.635084,0.191051,-0.014726,1.049169
13.545134,4.207182,-1.894685,-1.693732,0.179482,-0.009070,1.019382
13.595067,4.147963,-2.003413,-1.651610,0.196292,-0.013330,1.073977
13.644512,4.190612,-1.963552,-1.760206,0.201631,-0.021762,1.064551
13.694541,4.036525,-1.985949,-1.649895,0.175807,-0.036094,1.064763
13.744544,4.114519,-2.093510,-1.605408,0.203947,0.007415,1.082571
13.794865,3.983898,-1.967039,-1.613650,0.191064,-0.024571,1.057427
13.844494,4.215968,-1.987922,-1.689996,0.214634,-0.005431,1.067343
13.894528,4.050802,-2.044598,-1.657939,0.218098,-0.031606,1.067413
13.945104,4.068959,-1.915261,-1.601007,0.178952,-0.002282,1.055526
13.995128,4.153168,-2.021600,-1.721318,0.172616,-0.037492,1.056123
14.044419,4.097268,-1.983297,-1.646562,0.187768,-0.003421,1.064172
14.094949,4.108267,-1.968548,-1.684091,0.176780,-0.024589,1.069947
14.146889,4.095062,-2.042241,-1.611533,0.206427,-0.011506,1.069955
14.195167,4.077065,-2.008800,-1.680118,0.197037,-0.024366,1.079054
14.244952,4.188900,-1.961961,-1.605167,0.194258,0.009644,1.047443
14.296299,4.205358,-1.985567,-1.664884,0.196580,-0.006144,1.065713
14.344288,4.096542,-1.944303,-1.662553,0.196352,-0.005954,1.035792
14.395481,4.174970,-2.037906,-1.583587,0.195710,0.037272,1.089802
14.444674,4.066251,-2.021995,-1.695847,0.210918,-0.038252,1.064349
14.500764,4.054698,-1.997385,-1.636970,0.197009,-0.005461,1.037160
14.545090,4.132319,-1.974463,-1.652153,0.185134,-0.001338,1.046514
14.594630,4.089188,-2.038881,-1.637966,0.200040,-0.021696,1.100981
14.648499,4.130229,-2.064304,-1.698283,0.196859,-0.026888,1.062679
14.694741,4.028934,-2.026805,-1.565876,0.193316,0.008588,1.070552
14.745623,4.155082,-1.968893,-1.642070,0.222278,0.007933,1.072054
14.799318,4.145396,-2.096013,-1.636438,0.208868,-0.014738,1.083326
14.844856,4.230360,-1.883767,-1.666156,0.161037,-0.012448,1.012374
14.894614,4.099397,-1.941020,-1.601052,0.192707,-0.002915,1.062227
14.949135,4.205748,-2.064373,-1.581221,0.182279,0.022773,1.068439
14.995166,4.129800,-2.044785,-1.657973,0.192520,-0.011112,1.084606
15.044926,4.096446,-2.001556,-1.669227,0.217421,-0.032660,1.096710
15.099481,4.137560,-2.013888,-1.649805,0.177954,-0.008875,1.059261
15.144849,4.086336,-2.041206,-1.612222,0.196294,-0.023183,1.089105
15.195037,4.135881,-2.020463,-1.680985,0.197846,-0.005212,1.062037
15.244897,4.003563,-1.962931,-1.576538,0.202052,-0.006391,1.060505
15.295199,4.188428,-1.997427,-1.712348,0.176030,-0.019847,1.036246
15.373832,4.077617,-1.876336,-1.624145,0.198363,0.009144,1.039586
15.419708,4.196316,-1.878498,-1.675764,0.170951,-0.011454,1.048598
15.469688,4.161516,-2.174035,-1.632894,0.203420,-0.030123,1.084367
15.523274,3.973279,-2.001759,-1.672208,0.202130,-0.020693,1.095760
15.569739,4.127840,-1.960315,-1.583425,0.188835,-0.001533,1.058343
15.619732,4.191191,-2.167920,-1.710994,0.217145,-0.041283,1.090098
15.674049,4.148371,-1.901709,-1.648289,0.184434,-0.004902,1.034504
15.722976,4.074067,-2.074338,-1.538385,0.250421,0.033355,1.123651
15.771151,4.049281,-2.192737,-1.633471,0.222923,-0.028189,1.133289
15.826062,4.054731,-1.961383,-1.636754,0.189209,-0.012101,1.052397
15.869409,4.067402,-2.018307,-1.694822,0.197055,-0.038409,1.079175
15.919896,4.241546,-1.991458,-1.643288,0.185613,0.012528,1.061840
15.974307,4.208530,-2.054123,-1.636746,0.197111,0.000393,1.068343
16.019727,4.163607,-1.883797,-1.584249,0.193279,0.015843,1.028696
16.070084,4.226971,-1.974701,-1.748460,0.198595,-0.018793,1.076812
16.120124,4.273404,-2.139745,-1.589708,0.210463,0.018835,1.107971
16.170147,4.011719,-1.939792,-1.681966,0.179079,-0.032188,1.050393
16.219598,4.078978,-1.988190,-1.556805,0.197429,0.029989,1.082235
16.270227,4.148502,-2.059157,-1.586071,0.176207,0.006326,1.059419
16.320366,4.077896,-2.048946,-1.695907,0.211299,-0.033789,1.094070
16.369786,4.021811,-2.025155,-1.549556,0.228202,0.014304,1.091055
16.420217,4.195630,-2.118618,-1.674463,0.206036,-0.009282,1.093890
16.470634,4.163473,-1.998676,-1.546484,0.207054,0.018751,1.074010
16.520160,4.049737,-2.041107,-1.689197,0.211154,-0.024934,1.099135
16.570376,4.181421,-1.975202,-1.656161,0.181184,-0.006384,1.050917
16.619430,4.148998,-2.022965,-1.727101,0.183852,-0.030929,1.065362
16.669863,4.168503,-2.003995,-1.646395,0.212520,-0.000192,1.073660
16.720399,4.108552,-1.889443,-1.637108,0.162557,-0.007325,1.022913
16.769962,4.180604,-2.127816,-1.615753,0.227103,0.015808,1.114958
16.820188,4.086596,-2.050161,-1.670654,0.204955,-0.042299,1.096529
16.870642,4.105342,-2.019113,-1.635826,0.216432,0.004552,1.102939
16.921579,4.182773,-2.163206,-1.634697,0.230552,-0.015403,1.121856
16.972416,4.124921,-2.076856,-1.666942,0.216718,-0.003465,1.074658
17.021380,4.011967,-1.962621,-1.644701,0.226451,-0.018450,1.088719
17.069594,4.186687,-2.129754,-1.583367,0.208535,0.025613,1.089131
17.125175,4.120679,-2.028044,-1.637675,0.217499,-0.006001,1.085562
17.169873,3.994553,-1.868773,-1.601952,0.179815,-0.002209,1.045202
17.220262,4.148599,-2.094285,-1.627547,0.198001,-0.007543,1.073092
17.274359,4.113316,-2.033073,-1.703492,0.199355,-0.024015,1.069438
17.320312,4.044400,-1.880350,-1.560787,0.185642,0.003843,1.024288
17.371052,4.203608,-2.053410,-1.682696,0.195753,-0.013188,1.091946
17.424271,4.226313,-2.006135,-1.674862,0.184543,0.003349,1.058652
17.470613,4.046185,-2.062675,-1.634154,0.212557,-0.026219,1.110290
17.544953,4.132137,-1.987697,-1.673009,0.191402,-0.014109,1.061568
17.573548,4.119937,-2.116274,-1.602324,0.224951,-0.010635,1.098101
